,player_name,teams_played_for,league,games,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain
1219,Alejandro Gálvez,Werder Bremen,Bundesliga,20,1543,1,1,1,1.564692056,0.639949441,1.564692056,0.091265253,0.037326928,0.091265253,D M S,13,1,6,0,2.394911384,3.12552142
1220,Philipp Bargfrede,Werder Bremen,Bundesliga,16,1256,1,1,0,0.59074687,0.210793843,0.59074687,0.042330588,0.015104654,0.042330588,M S,20,3,3,0,2.647015934,3.312332759
1221,Levin Öztunali,"Bayer Leverkusen,Werder Bremen",Bundesliga,22,887,1,1,3,0.910246631,2.250399131,0.910246631,0.092358734,0.228338131,0.092358734,M S,18,15,1,0,0.92287283,3.377906978
1222,Melvyn Lorenzen,Werder Bremen,Bundesliga,3,146,1,1,0,0.176365476,0.040832493,0.176365476,0.108718444,0.025170715,0.108718444,F S,2,2,0,0,0.395312935,0.61251092
1223,Dominic Maroh,FC Cologne,Bundesliga,29,2370,1,1,0,0.967173567,0.331390575,0.967173567,0.03672811,0.012584452,0.03672811,D S,11,4,2,0,2.978019943,3.045023073
1224,Kevin Vogt,FC Cologne,Bundesliga,32,2689,1,1,3,1.378226713,2.432676164,1.378226713,0.046128823,0.08142092,0.046128823,M S,21,29,8,0,5.130436463,7.729528647
1225,Simon Zoller,FC Cologne,Bundesliga,9,481,1,1,0,1.02214653,0.147633671,1.02214653,0.191254029,0.027623764,0.191254029,F M S,9,4,1,0,0.497228701,1.667008917
1226,Yannick Gerhardt,FC Cologne,Bundesliga,16,832,1,1,1,0.698043581,0.802088827,0.698043581,0.075509522,0.086764416,0.075509522,M S,13,8,2,0,1.122489939,2.169799674
1227,Bard Finne,FC Cologne,Bundesliga,10,234,1,1,0,1.24851805,0.177791458,1.24851805,0.48019925,0.06838133,0.48019925,F S,9,4,0,0,0.054099746,1.48040925
1228,Josuha Guilavogui,Wolfsburg,Bundesliga,27,1775,1,1,0,0.973291911,0.387303919,0.973291911,0.049350012,0.019637945,0.049350012,M S,17,9,4,1,5.81656486,6.749369754
1229,Vieirinha,Wolfsburg,Bundesliga,31,2312,1,1,5,1.821661425,3.527087553,1.821661425,0.070912426,0.137300121,0.070912426,D M S,33,37,1,0,6.836061988,10.67166643
1230,André Schürrle,Wolfsburg,Bundesliga,14,661,1,1,2,3.279291106,1.160160296,3.279291106,0.446499545,0.157964337,0.446499545,F M S,25,5,1,0,1.203311497,5.163297454
1231,Nicklas Bendtner,Wolfsburg,Bundesliga,18,559,1,1,0,0.632787462,0.258442651,0.632787462,0.101879913,0.041609729,0.101879913,F S,9,8,0,0,0.707480816,1.502200238
1232,Timm Klose,Wolfsburg,Bundesliga,12,959,1,1,0,0.274971075,0.058934718,0.274971075,0.025805419,0.005530891,0.025805419,D S,3,1,0,0,4.33063923,4.33063923
