,player_name,teams_played_for,league,games,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain
0,Sergio Agüero,Manchester City,EPL,33,2551,26,21,8,25.27015974,5.568922242,20.70318364,0.891538368,0.196473148,0.730414162,F S,148,33,4,0,6.878173082,27.80515491
1,Harry Kane,Tottenham,EPL,34,2589,21,19,4,17.15729224,3.922500966,14.87382253,0.596429626,0.136355769,0.517050609,F M S,112,27,4,0,5.549698736,16.48843899
2,Diego Costa,Chelsea,EPL,26,2111,20,19,3,15.21910376,4.554670916,14.45793492,0.648848573,0.194183033,0.616397036,F S,76,41,8,0,5.276972728,21.36578991
3,Charlie Austin,Queens Park Rangers,EPL,35,3078,18,15,5,17.88185019,2.548747033,14.0760429,0.522861117,0.074524767,0.411580202,F,131,23,4,1,3.041321298,13.71827617
4,Alexis Sánchez,Arsenal,EPL,35,2967,16,16,8,13.45174998,8.494179573,12.69058108,0.40804095,0.257659643,0.384951903,F M S,122,82,4,0,10.73675296,27.15757154
5,Olivier Giroud,Arsenal,EPL,27,1871,14,14,3,8.846344473,3.860136235,8.846344473,0.425532337,0.185682662,0.425532337,F S,70,29,5,1,4.129246939,13.63988042
6,Eden Hazard,Chelsea,EPL,38,3389,14,11,9,12.01609217,11.2388905,8.971416749,0.319105428,0.298465667,0.238249486,M,78,100,2,0,19.4763214,31.84057115
7,Saido Berahino,West Bromwich Albion,EPL,38,2940,14,10,1,13.84175339,1.961660521,10.79711479,0.423727145,0.060050832,0.330523922,F M S,86,28,2,0,2.439557684,11.90729394
8,Christian Benteke,Aston Villa,EPL,29,2380,13,12,2,8.455073807,2.921320032,7.69390497,0.319729682,0.110470085,0.290945986,F S,80,33,1,1,2.198609022,8.725395946
9,David Silva,Manchester City,EPL,32,2682,12,12,7,9.096987545,10.38841323,9.096987545,0.305268038,0.348604471,0.305268038,M,66,92,8,0,16.63357345,29.14427815
10,Wayne Rooney,Manchester United,EPL,33,2887,12,11,5,8.902106503,3.983562218,7.379768742,0.277516309,0.124184482,0.230058603,F M,79,45,5,1,7.295702989,15.43574343
11,Graziano Pellè,Southampton,EPL,38,3291,12,12,2,18.61650328,4.481623747,18.61650328,0.509111302,0.122560358,0.509111302,F S,123,43,6,0,5.598169405,24.78564694
12,Wilfried Bony,"Manchester City,Swansea",EPL,30,1604,11,10,3,10.45473239,3.508293623,9.693563554,0.586612167,0.196849393,0.543903192,F S,89,26,3,1,4.412425408,14.25221451
13,Nacer Chadli,Tottenham,EPL,35,2423,11,11,5,6.865526346,3.935559866,6.865526346,0.25501336,0.146182579,0.25501336,M S,54,41,3,0,8.626995286,15.64237767
14,Leonardo Ulloa,Leicester,EPL,37,2434,11,9,3,8.923919437,3.791994615,7.401581762,0.32997237,0.140213441,0.273682152,F S,49,36,3,0,2.50936935,9.963016774
15,Papiss Demba Cissé,Newcastle United,EPL,22,1137,11,10,1,8.957138859,0.334678318,8.196006797,0.709008353,0.026491687,0.648760433,F S,45,7,1,0,0.616738176,7.444708489
16,Mame Biram Diouf,Stoke,EPL,34,2451,11,11,3,11.64697849,3.466140971,11.64697849,0.427673629,0.127275678,0.427673629,F M S,55,28,7,0,0.861984162,13.59962958
17,Danny Ings,Burnley,EPL,35,3048,11,10,4,12.28951592,4.244326278,11.52834708,0.362879407,0.125324595,0.340403949,F M,97,35,6,0,2.825656678,16.55870387
18,Romelu Lukaku,Everton,EPL,36,2880,10,8,5,12.43079612,2.350205835,10.90853263,0.388462379,0.073443932,0.340891645,F S,105,37,1,0,5.078922748,15.74381001
19,Christian Eriksen,Tottenham,EPL,38,3160,10,10,2,7.389632631,6.088786539,7.389632631,0.210464221,0.173414806,0.210464221,M S,97,84,4,0,13.01811756,21.31857464
20,Diafra Sakho,West Ham,EPL,23,1765,10,10,2,9.070375496,2.615855719,9.070375496,0.462512065,0.133386411,0.462512065,F M S,66,23,2,0,0.912817895,9.083610157
21,Sadio Mané,Southampton,EPL,30,2142,10,10,3,8.553969949,3.982477756,8.553969949,0.359410502,0.167330998,0.359410502,F M S,60,40,5,0,4.032990456,14.56727633
22,Yaya Touré,Manchester City,EPL,29,2358,10,8,1,7.10934528,3.243578178,5.587007623,0.271349056,0.123800694,0.213244566,M S,89,33,5,0,20.90326176,26.02432759
23,Robin van Persie,Manchester United,EPL,27,2126,10,9,2,11.60347172,2.986051802,10.08113411,0.491209998,0.12640859,0.426764849,F S,76,27,5,0,1.688729293,12.91751412
24,Juan Mata,Manchester United,EPL,33,2318,9,8,4,6.597756471,4.968638537,5.836587574,0.256168284,0.192915215,0.226614703,M S,33,50,2,0,7.047830258,14.52084877
25,Steven Gerrard,Liverpool,EPL,28,2239,9,5,1,7.108814504,3.209077569,3.302970275,0.285749578,0.128993739,0.132767899,F M S,54,52,7,0,5.586606521,8.181374524
26,Ki Sung-yueng,Swansea,EPL,33,2692,8,8,1,4.33057791,1.264146536,4.33057791,0.144781579,0.042263443,0.144781579,M S,28,26,4,0,9.00447819,11.96013202
27,Jonathan Walters,Stoke,EPL,32,2439,8,8,4,5.561564697,3.240074114,5.561564697,0.20522379,0.11955993,0.20522379,F M S,45,24,5,0,2.669186649,9.581076044
28,Peter Crouch,Stoke,EPL,33,1648,8,8,2,6.730623106,1.883066188,6.730623106,0.367570437,0.102837352,0.367570437,F S,59,15,4,0,3.592045398,9.373048391
29,Nikica Jelavic,Hull,EPL,26,1815,8,8,1,4.894789139,0.863226663,4.894789139,0.242716817,0.042804628,0.242716817,F S,57,17,3,0,1.086763932,5.708562222
30,Kevin Mirallas,Everton,EPL,29,1430,7,7,1,4.718503349,1.58954772,3.957334526,0.296968742,0.100041465,0.249063012,F M S,52,18,3,0,2.281447175,6.50436656
31,Raheem Sterling,Liverpool,EPL,35,3059,7,7,7,8.785912294,6.036621025,8.785912294,0.25849366,0.177605718,0.25849366,F M S,84,75,5,0,5.501672655,18.19585335
32,Loïc Remy,"Chelsea,Queens Park Rangers",EPL,21,839,7,7,0,4.65520888,0.605263872,4.65520888,0.499366864,0.064926995,0.499366864,F M S,37,6,0,0,1.6453861,5.653262757
33,Gylfi Sigurdsson,Swansea,EPL,32,2721,7,7,10,5.17799215,8.451310661,5.17799215,0.171267657,0.279536185,0.171267657,F M,67,73,2,0,7.116853255,15.54874621
34,Bafétimbi Gomis,Swansea,EPL,31,1619,7,7,0,7.497833965,0.886919528,7.497833965,0.416803618,0.049303742,0.416803618,F S,69,13,0,0,1.542212434,7.254535458
35,Ayoze Pérez,Newcastle United,EPL,36,2369,7,7,0,5.746194877,2.900993466,5.746194877,0.218302043,0.110210811,0.218302043,F M S,61,28,0,0,3.019625613,9.567504752
36,Charlie Adam,Stoke,EPL,29,1482,7,6,1,3.407770022,2.649148855,2.646601184,0.206949596,0.160879485,0.160724768,M S,62,33,5,0,3.741002994,6.183591177
37,Glenn Murray,Crystal Palace,EPL,17,859,7,6,3,9.534016602,1.526845823,8.011715703,0.998907444,0.159972205,0.839411424,F S,38,7,3,1,0.819124801,5.485772721
38,Santiago Cazorla,Arsenal,EPL,37,2999,7,1,11,10.59072232,9.75517991,6.023709329,0.317827612,0.292752982,0.180771537,M S,93,78,5,0,16.91331429,24.6578343
39,Aaron Ramsey,Arsenal,EPL,29,2013,6,6,6,6.63692579,5.299688201,6.63692579,0.296732897,0.236945821,0.296732897,M S,63,47,6,0,8.166224789,16.72075515
40,Jason Puncheon,Crystal Palace,EPL,37,2823,6,6,7,2.794280161,5.305931795,2.794280161,0.089084383,0.169158293,0.089084383,F M S,65,65,7,1,4.62307622,8.855646732
41,Ander Herrera,Manchester United,EPL,26,1877,6,6,4,2.037226527,2.119988027,2.037226527,0.097682678,0.101650998,0.097682678,M S,37,26,6,0,8.672010966,11.65021852
42,Jordan Henderson,Liverpool,EPL,37,3253,6,5,9,4.294427356,6.793562995,3.533258492,0.11881293,0.187955939,0.097753847,M S,50,67,6,0,8.795097372,16.31087692
43,Marouane Fellaini,Manchester United,EPL,27,1824,6,6,0,5.31491784,1.151918098,5.31491784,0.262249236,0.056838064,0.262249236,M S,36,21,5,1,4.703867078,9.252811421
44,Oscar,Chelsea,EPL,28,2072,6,6,8,6.540379193,5.22434203,6.540379193,0.28408983,0.226926053,0.28408983,F M S,72,37,5,0,7.149963064,15.80394527
45,Leroy Fer,Queens Park Rangers,EPL,29,2375,6,6,2,5.116700018,3.586207873,5.116700018,0.193896001,0.135898404,0.193896001,M S,54,48,4,0,4.389067227,10.68014081
46,Steven Naismith,Everton,EPL,31,2051,6,6,0,3.948357157,1.943706624,3.948357157,0.173257993,0.085291856,0.173257993,F M S,33,25,8,0,2.953010509,7.202266559
47,Gabriel Agbonlahor,Aston Villa,EPL,34,2698,6,6,1,5.630619659,1.552949448,5.630619659,0.187826453,0.051803354,0.187826453,F S,53,16,7,1,1.656528472,8.039163658
48,Stewart Downing,West Ham,EPL,37,3315,6,6,8,4.136291523,6.626502506,4.136291523,0.112297507,0.179905045,0.112297507,F M,70,85,3,0,7.331177488,13.64264188
49,Frank Lampard,Manchester City,EPL,32,958,6,6,1,4.004464738,0.952922001,4.004464738,0.376202324,0.089522944,0.376202324,M S,32,15,1,0,7.293270911,11.03933527
50,Adam Lallana,Liverpool,EPL,27,1802,5,5,3,4.768366974,3.141797695,4.768366974,0.238153733,0.156915534,0.238153733,F M S,38,33,4,0,4.900887405,10.23440138
51,Philippe Coutinho,Liverpool,EPL,35,2810,5,5,5,4.376544035,5.527065985,4.376544035,0.140174008,0.177023466,0.140174008,F M S,103,59,3,0,7.004489666,13.68051799
52,James Milner,Manchester City,EPL,32,1732,5,5,7,5.722100426,4.971144263,5.722100426,0.297337782,0.25831581,0.297337782,F M S,39,52,6,0,8.751346262,15.70208748
53,Theo Walcott,Arsenal,EPL,14,427,5,5,0,5.347009994,0.401385993,5.347009994,1.127004448,0.084601263,1.127004448,F M S,23,4,0,0,0.699618585,5.933306679
54,Mile Jedinak,Crystal Palace,EPL,24,2092,5,2,3,3.902254627,0.991682836,1.618748064,0.167879023,0.04266322,0.069640213,M,31,14,3,1,2.9935822,3.540134899
55,Connor Wickham,Sunderland,EPL,36,2782,5,5,1,7.663333744,1.76672578,7.663333744,0.247915182,0.05715504,0.247915182,F M S,83,21,8,0,4.778484398,12.3049146
56,Andy Carroll,West Ham,EPL,14,1032,5,5,1,3.693268452,0.768981952,3.693268452,0.322087365,0.06706238,0.322087365,F S,37,11,2,0,0.468918409,3.288496133
57,Dame N&#039;Doye,Hull,EPL,15,1195,5,5,1,5.468191313,1.079892587,5.468191313,0.411830308,0.081330822,0.411830308,F S,42,12,3,0,1.152376303,6.649707135
58,Dwight Gayle,Crystal Palace,EPL,25,1069,5,4,1,5.163298175,0.766508536,4.402129278,0.434702372,0.064532992,0.370618929,F M S,30,16,1,0,0.809256807,3.374663489
59,Jamie Vardy,Leicester,EPL,34,2261,5,5,8,7.851606417,5.182648448,7.851606417,0.312536301,0.206297373,0.312536301,F M S,48,35,5,0,2.142568827,14.46846075
60,Shane Long,Southampton,EPL,32,1522,5,5,5,4.03582678,2.735771757,4.03582678,0.238649415,0.161773626,0.238649415,F M S,37,21,2,0,3.285959989,9.551560491
61,John Terry,Chelsea,EPL,38,3420,5,5,0,5.216809109,0.396627126,5.216809109,0.13728445,0.010437556,0.13728445,D,20,7,2,0,8.167878994,8.545578749
62,Steven Fletcher,Sunderland,EPL,30,1782,5,5,2,6.642455921,2.051578896,6.642455921,0.335477572,0.103615096,0.335477572,F M S,37,17,4,0,2.307069686,9.389526054
63,Stevan Jovetic,Manchester City,EPL,17,791,5,5,3,3.329761994,1.812602609,3.329761994,0.378860404,0.206237971,0.378860404,F M S,38,15,0,0,3.64584568,6.673779793
64,George Boyd,"Burnley,Hull",EPL,36,3035,5,5,2,3.479217029,3.559880982,3.479217029,0.103172828,0.10556484,0.103172828,M S,49,36,7,0,3.811831836,9.525841981
65,David Nugent,Leicester,EPL,29,1685,5,4,2,6.229932998,1.890917487,4.707595267,0.332756065,0.10099856,0.251444258,F M S,41,21,3,0,2.336387704,7.812488312
66,Ashley Barnes,Burnley,EPL,35,2435,5,5,2,5.690879393,1.82307705,5.690879393,0.210340511,0.067382725,0.210340511,F M S,66,30,4,1,3.272920651,9.151077945
67,Esteban Cambiasso,Leicester,EPL,31,2432,5,5,1,2.480083842,1.938136932,2.480083842,0.091779418,0.071723817,0.091779418,M S,29,37,1,0,4.195096199,7.08913563
68,Daniel Sturridge,Liverpool,EPL,12,747,4,4,1,4.51886607,1.518295817,4.51886607,0.544441695,0.182927207,0.544441695,F S,39,11,0,0,1.785387767,7.007463209
69,Mesut Özil,Arsenal,EPL,22,1861,4,4,5,3.860026103,6.6569959,3.860026103,0.186675094,0.321939619,0.186675094,F M S,29,69,0,0,9.91682863,16.41658762
70,Danny Welbeck,"Arsenal,Manchester United",EPL,27,1714,4,4,3,7.272419456,2.887719687,7.272419456,0.381865666,0.151630555,0.381865666,F M S,58,30,3,0,4.489677245,12.93773824
71,Yannick Bolasie,Crystal Palace,EPL,34,2788,4,4,6,4.837671763,5.125396749,4.837671763,0.156165875,0.165453984,0.156165875,F M S,69,46,3,0,3.093482772,11.88829618
72,Wilfried Zaha,Crystal Palace,EPL,31,1989,4,4,2,4.761631336,2.188599113,4.761631336,0.215458431,0.099031634,0.215458431,F M S,40,14,1,0,2.300881714,6.593070623
73,Cheikhou Kouyaté,West Ham,EPL,31,2670,4,4,2,3.062718721,1.187526578,3.062718721,0.10323771,0.040028986,0.10323771,D M S,33,14,5,0,3.314805837,6.412815573
74,Enner Valencia,West Ham,EPL,32,2119,4,4,3,6.480698645,2.593669008,6.480698645,0.275253836,0.110160552,0.275253836,F M S,72,18,2,0,2.898072541,8.838933131
75,Morgan Schneiderlin,Southampton,EPL,26,2183,4,4,1,2.391752079,1.558141556,2.391752079,0.098606361,0.064238543,0.098606361,M S,31,20,5,1,7.155299138,8.423094526
76,Phil Jagielka,Everton,EPL,37,3295,4,4,0,2.394631509,0.070678994,2.394631509,0.065407234,0.001930534,0.065407234,D,15,2,1,0,7.002297617,7.111543037
77,Chris Smalling,Manchester United,EPL,25,1881,4,4,0,1.863545958,0.391870305,1.863545958,0.089164878,0.018749775,0.089164878,D S,17,5,1,1,4.005902803,4.172036855
78,Fraizer Campbell,Crystal Palace,EPL,20,1187,4,4,0,4.221135981,0.466384035,4.221135981,0.320052433,0.03536189,0.320052433,F M S,25,8,5,0,0.766649202,3.951981192
79,Branislav Ivanovic,Chelsea,EPL,38,3420,4,4,5,4.370111751,5.315748721,4.370111751,0.115002941,0.139888124,0.115002941,D,44,35,10,1,11.982985,17.02221077
80,Falcao,Manchester United,EPL,26,1278,4,4,4,7.156319907,1.894074537,7.156319907,0.503966191,0.133385531,0.503966191,F S,38,18,2,0,2.632779361,9.530347373
81,Jermain Defoe,Sunderland,EPL,17,1468,4,4,0,4.020909581,1.26054433,4.020909581,0.24651353,0.077281328,0.24651353,F M,34,13,1,0,2.511991862,7.368556209
82,Riyad Mahrez,Leicester,EPL,30,2091,4,4,3,4.923194452,6.056509282,4.923194452,0.2119022,0.260681892,0.2119022,M S,63,44,0,0,3.296926638,11.14942944
83,Jack Colback,Newcastle United,EPL,35,3130,4,4,6,2.824961993,2.34041437,2.824961993,0.081228939,0.06729626,0.081228939,D M,27,44,12,0,4.668527426,7.598446446
84,Moussa Sissoko,Newcastle United,EPL,34,3037,4,4,2,3.952444754,4.653360825,3.952444754,0.117128755,0.137900057,0.117128755,M,44,44,7,2,6.720511131,12.27381309
85,Dusan Tadic,Southampton,EPL,31,2072,4,3,7,5.627578145,9.00442224,4.10524046,0.244441136,0.391118727,0.178316429,F M S,53,68,2,0,7.751162557,18.35396714
86,Bojan,Stoke,EPL,16,1236,4,3,1,2.597242655,1.701795606,1.836073807,0.189119611,0.123917156,0.133694695,M S,32,26,2,0,1.552974269,3.769358747
87,Adam Johnson,Sunderland,EPL,32,2085,4,3,1,3.222570693,3.918955044,2.461401856,0.139103771,0.169163527,0.106247562,F M S,25,39,2,0,4.61860523,7.580855486
88,Jordi Gómez,Sunderland,EPL,29,1952,4,1,2,3.721912106,1.792080821,1.438405594,0.171604554,0.082626677,0.06631993,M S,31,23,7,0,4.437606098,6.745259866
89,Brown Ideye,West Bromwich Albion,EPL,24,1286,4,4,2,3.969937544,1.232260013,3.969937544,0.277833887,0.086239037,0.277833887,F S,30,11,2,0,1.573535312,4.579364825
90,Edin Dzeko,Manchester City,EPL,22,928,4,4,2,3.974505268,1.308859024,3.974505268,0.385458485,0.126936759,0.385458485,F S,43,11,1,0,2.669363303,6.803935735
91,Abel Hernández,Hull,EPL,25,1307,4,3,1,5.410243159,0.851751056,4.649111098,0.372549261,0.058651565,0.320137719,F S,52,9,2,0,0.826467486,4.144816397
92,Didier Drogba,Chelsea,EPL,28,831,4,4,1,2.728672436,1.53437137,2.728672436,0.295524091,0.166177405,0.295524091,F S,30,14,5,0,2.011723157,5.031835989
93,Mohamed Diamé,"Hull,West Ham",EPL,15,937,4,4,0,1.209078571,0.174405811,1.209078571,0.116133481,0.016751892,0.116133481,M S,17,3,2,0,0.90108793,2.138137093
94,Eduardo Vargas,Queens Park Rangers,EPL,21,1389,3,3,2,3.477744034,1.819063695,3.477744034,0.225339786,0.117865898,0.225339786,F M S,41,15,1,0,2.878536894,6.131222358
95,André Schürrle,Chelsea,EPL,14,428,3,3,0,3.249142688,0.597669065,3.249142688,0.683230939,0.125678074,0.683230939,M S,21,6,2,0,1.403524503,4.820191136
96,Laurent Koscielny,Arsenal,EPL,27,2289,3,3,0,1.274743553,0.116488516,1.274743553,0.050120979,0.004580151,0.050120979,D S,8,2,4,0,3.617564681,3.689264449
97,Victor Moses,Stoke,EPL,19,1473,3,2,3,4.51680656,2.320560065,3.7556377,0.275975961,0.141785747,0.229468699,F M,41,32,3,0,1.942053545,6.229532422
98,Seamus Coleman,Everton,EPL,35,3062,3,3,2,2.01004206,2.727002407,2.01004206,0.05908027,0.080153565,0.05908027,D M S,19,34,5,0,5.938952649,8.555337811
99,Tom Cleverley,"Aston Villa,Manchester United",EPL,32,2633,3,3,0,1.787793845,1.348969731,1.787793845,0.06110955,0.046109865,0.06110955,F M,24,27,7,0,4.157936003,5.817162948
100,Fernandinho,Manchester City,EPL,33,2283,3,3,3,2.406892048,2.69505065,2.406892048,0.094884049,0.106243784,0.094884049,M S,24,30,7,0,9.671797587,13.14695266
101,Danny Rose,Tottenham,EPL,28,2386,3,3,4,1.670325031,2.91212429,1.670325031,0.063004716,0.109845426,0.063004716,D S,24,27,7,0,7.36356581,10.74425258
102,Cesc Fàbregas,Chelsea,EPL,34,2895,3,3,18,3.24937478,10.14933995,3.24937478,0.101016833,0.315523522,0.101016833,M S,43,95,11,1,16.97100196,23.0131816
103,Jack Cork,"Southampton,Swansea",EPL,27,1795,3,3,0,3.130753373,0.708307747,3.130753373,0.156973707,0.035514037,0.156973707,M S,8,12,1,0,7.323186716,8.945708673
104,Wayne Routledge,Swansea,EPL,29,2327,3,3,1,3.858188288,2.311217386,3.858188288,0.149220862,0.089389585,0.149220862,F M S,31,28,1,1,3.121098034,8.535147249
105,Jack Rodwell,Sunderland,EPL,23,1483,3,3,0,2.482021427,0.275168397,2.482021427,0.150628408,0.016699363,0.150628408,M S,30,4,5,0,4.823791151,5.963927053
106,Sebastian Larsson,Sunderland,EPL,36,3079,3,3,3,2.72191664,3.486307788,2.72191664,0.079562357,0.101905716,0.079562357,M,45,58,10,0,5.843437802,8.626350526
107,Jeffrey Schlupp,Leicester,EPL,32,2557,3,3,2,2.299106224,1.545493357,2.299106224,0.080922785,0.054397498,0.080922785,D M S,40,23,4,0,3.824514277,7.155159744
108,Jonjo Shelvey,Swansea,EPL,31,2471,3,2,5,4.547879751,2.943916641,3.786710913,0.165645155,0.107224807,0.137921482,M S,62,30,8,1,7.097531779,11.98997367
109,Nathan Dyer,Swansea,EPL,32,1879,3,3,2,2.01653125,2.235175339,2.01653125,0.096587447,0.107060022,0.096587447,F M S,17,22,2,0,5.942771967,8.583797144
110,Craig Gardner,West Bromwich Albion,EPL,35,2697,3,3,4,3.340115388,3.343790824,3.340115388,0.111461025,0.111583676,0.111461025,M S,56,35,10,0,4.230649572,8.155048489
111,Victor Anichebe,West Bromwich Albion,EPL,21,1019,3,3,1,1.849911287,1.331589602,1.849911287,0.163387651,0.117608503,0.163387651,F S,25,18,0,0,1.094319977,3.206710208
112,Victor Wanyama,Southampton,EPL,32,2367,3,3,1,1.723528877,0.933834823,1.723528877,0.065533417,0.035507027,0.065533417,M S,28,16,10,0,5.47804467,7.770369669
113,Matt Phillips,Queens Park Rangers,EPL,25,1827,3,3,8,3.086478743,3.03633558,3.086478743,0.152043288,0.149573181,0.152043288,F M S,42,34,1,0,1.109443078,5.40623282
114,Steven N&#039;Zonzi,Stoke,EPL,38,3381,3,3,1,2.544648645,1.787154513,2.544648645,0.067736876,0.04757288,0.067736876,M,47,34,2,0,6.257574142,9.022655447
115,Morgan Amalfitano,West Ham,EPL,24,1174,3,3,1,2.62375898,0.999390671,2.62375898,0.201139956,0.076614276,0.201139956,F M S,19,10,3,0,3.056757521,5.837719062
116,Ángel Di María,Manchester United,EPL,27,1642,3,3,10,2.931910164,7.295103868,2.931910164,0.160701532,0.39985344,0.160701532,F M S,61,52,1,0,3.154285556,8.83805153
117,Samuel Eto&#039;o,Everton,EPL,14,765,3,3,1,2.36550604,1.008751255,2.36550604,0.278294828,0.118676618,0.278294828,F M S,28,11,1,0,2.01227122,4.095035216
118,Bobby Zamora,Queens Park Rangers,EPL,31,1779,3,3,4,2.987050442,6.012668498,2.987050442,0.151115537,0.304182217,0.151115537,F S,29,50,4,0,3.24147739,9.424549298
119,Andreas Weimann,Aston Villa,EPL,31,1782,3,3,2,2.71545106,1.118879287,2.71545106,0.137143993,0.056509055,0.137143993,F M S,33,20,5,0,0.959268844,4.366783701
120,Héctor Bellerín,Arsenal,EPL,20,1564,2,2,1,0.279693583,1.771043681,0.279693583,0.016094899,0.101914278,0.016094899,D S,5,12,5,0,5.210577918,6.440684628
121,Scott Dann,Crystal Palace,EPL,34,2926,2,2,3,1.2500938,3.085111724,1.2500938,0.038451279,0.094894072,0.038451279,D,19,13,6,0,2.950543016,3.481816951
122,Joe Ledley,Crystal Palace,EPL,32,2581,2,2,0,1.693591217,1.501201982,1.693591217,0.059055873,0.052347221,0.059055873,D M S,13,21,0,0,2.530504927,3.830855122
123,Emmanuel Adebayor,Tottenham,EPL,13,811,2,2,1,2.904070284,1.350176305,2.904070284,0.322276604,0.149834608,0.322276604,F S,19,12,1,0,1.697083058,5.354458764
124,Mark Noble,West Ham,EPL,28,2321,2,1,3,2.424914643,3.095323782,0.902576953,0.094029435,0.120025481,0.034998675,M S,21,45,4,0,7.170457302,8.767043116
125,Aaron Cresswell,West Ham,EPL,38,3420,2,2,4,1.242632411,4.838662924,1.242632411,0.032700853,0.127333235,0.032700853,D,19,35,5,0,6.9538604,9.588578368
126,Daley Blind,Manchester United,EPL,25,2174,2,2,2,0.998192465,1.44535154,0.998192465,0.041323515,0.05983516,0.041323515,D M,28,17,4,0,7.474333016,9.220815569
127,Leighton Baines,Everton,EPL,31,2775,2,0,9,2.97381687,6.347046165,0.690310379,0.096448115,0.205850146,0.022388445,D M,22,70,4,0,6.834206358,9.676735237
128,James McCarthy,Everton,EPL,28,2416,2,2,1,1.406343303,1.040039388,1.406343303,0.052388616,0.038743189,0.052388616,M S,19,16,7,0,6.607742246,8.401337255
129,Ross Barkley,Everton,EPL,29,1967,2,2,2,3.760161198,2.569686012,2.99899236,0.172046013,0.117575872,0.137218766,F M S,51,33,1,0,4.672089372,8.090890264
130,Aaron Lennon,"Everton,Tottenham",EPL,23,1345,2,2,2,1.219703622,2.710263843,1.219703622,0.081615856,0.181355945,0.081615856,F M S,9,24,3,0,2.604276273,5.866381856
131,Nathaniel Clyne,Southampton,EPL,35,3148,2,2,0,0.935864906,2.085668016,0.935864906,0.026755985,0.059628374,0.026755985,D M,19,22,4,0,5.568604274,8.067472024
132,Alberto Moreno,Liverpool,EPL,28,2273,2,2,0,1.935569201,1.658464852,1.935569201,0.076639344,0.065667328,0.076639344,D M S,18,34,6,0,3.963448733,6.778576391
133,Fernando,Manchester City,EPL,25,1886,2,2,2,1.681158198,1.577612836,1.681158198,0.080224941,0.075283751,0.080224941,M S,10,13,6,0,9.973449733,11.18131697
134,Aleksandar Kolarov,Manchester City,EPL,21,1483,2,2,3,1.062294084,1.735050546,1.062294084,0.064468286,0.105296392,0.064468286,D S,27,23,4,0,5.423415891,6.375884652
135,Ashley Young,Manchester United,EPL,26,2076,2,2,5,2.507619198,4.116282468,2.507619198,0.108711815,0.178451552,0.108711815,D M S,29,34,5,0,3.891769117,7.86770077
136,James McArthur,Crystal Palace,EPL,32,2623,2,2,0,2.069862629,1.773797125,2.069862629,0.07102083,0.060862273,0.07102083,M S,33,28,6,0,3.589022321,6.689042315
137,Eric Dier,Tottenham,EPL,28,2288,2,2,2,1.419443948,1.474111885,1.419443948,0.055834771,0.05798517,0.055834771,D S,12,14,4,0,7.489944479,8.7941286
138,Erik Lamela,Tottenham,EPL,33,2297,2,2,7,2.452041397,6.099331358,2.452041397,0.096074761,0.238981203,0.096074761,M S,38,60,6,0,7.293394936,11.23315401
139,Willian,Chelsea,EPL,36,2439,2,2,3,4.227033239,5.783545651,4.227033239,0.155979086,0.213414969,0.155979086,M S,55,49,3,0,9.933883492,17.24670586
140,Wes Morgan,Leicester,EPL,37,3293,2,2,2,2.281810495,0.916603407,2.281810495,0.062363481,0.025051414,0.062363481,D,25,6,1,1,2.12989857,2.868494093
141,Marc Albrighton,Leicester,EPL,18,1011,2,2,3,1.386699539,3.893735403,1.386699539,0.123445063,0.34662333,0.123445063,D M S,14,31,3,0,3.256589273,6.103295417
142,Andros Townsend,Tottenham,EPL,17,767,2,1,2,1.783963086,0.951786995,1.022794249,0.20933074,0.111682959,0.12001497,M S,16,13,2,0,1.841178449,2.931596998
143,Andy King,Leicester,EPL,24,1366,2,2,0,2.062912995,0.129082045,2.062912995,0.135916669,0.008504674,0.135916669,M S,14,5,1,0,2.848556966,4.114322873
144,Craig Dawson,West Bromwich Albion,EPL,29,2593,2,2,0,1.765517488,0.305136468,1.765517488,0.061279049,0.01059093,0.061279049,D,16,5,6,0,2.870568037,3.116907239
145,Rickie Lambert,Liverpool,EPL,25,798,2,2,2,1.837039642,0.842934171,1.837039642,0.207184922,0.095067764,0.207184922,F S,19,11,2,0,1.727238984,4.115941545
146,James Chester,Hull,EPL,23,1878,2,2,0,0.693623087,0.198774032,0.693623087,0.033240723,0.009525912,0.033240723,D M,9,5,5,1,2.190821283,2.350152187
147,Ryan Bertrand,Southampton,EPL,34,3057,2,2,2,0.98202459,3.735289982,0.98202459,0.028911421,0.109969283,0.028911421,D M,14,26,3,1,8.784687333,11.7537317
148,Samir Nasri,Manchester City,EPL,24,1596,2,2,6,2.478832273,4.465052543,2.478832273,0.139783775,0.251788677,0.139783775,M S,34,52,5,0,8.548642645,12.83582477
149,Ryan Shawcross,Stoke,EPL,32,2831,2,2,1,2.276102196,1.250530906,2.276102196,0.072359307,0.039755486,0.072359307,D,19,14,7,0,2.366593268,3.206403042
150,Leon Osman,Everton,EPL,21,1262,2,2,2,2.717071032,1.540747609,2.717071032,0.193768933,0.10987899,0.193768933,M S,28,16,0,0,3.727863701,6.009386059
151,Chris Brunt,West Bromwich Albion,EPL,34,2901,2,2,10,2.060371174,5.361505296,2.060371174,0.063920512,0.166334187,0.063920512,D F M S,33,50,5,0,4.853268549,6.671323456
